category ,,chinese_food_name,price
麵,豬肉類,銀芽肉絲 炒麵,60
河粉,海鮮類,菜遠魚柳炒河,60
炒飯,牛肉類,美極生炒牛肉飯,60
意粉,牛肉類,黑椒牛肉炒意粉,60
炒飯,豬肉類,印尼炒飯,60
炒飯,海鮮類,泰式菠蘿海鮮炒飯,60
米粉,素食,清酒炒米粉,60
米粉,豬肉類,星洲炒米,60
炒飯,海鮮類,日式鰻魚炒飯,65
河粉,牛肉類,乾炒牛河,65
炒飯,豬肉類,楊州炒飯,60
炒飯,豬肉類,西炒飯,60
河粉,牛肉類,沙爹牛肉炒可,65
烏冬,豬肉類,鐵板豬扒烏冬,65
公仔麵,豬肉類,鐵板豬扒炒公仔麵,60
公仔麵,牛肉類,鐵板牛肉炒公仔麵,60
公仔麵,海鮮類,鐵板海鮮炒公仔麵,60
烏冬,海鮮類,鐵板海鮮炒烏冬,65
米粉,豬肉類,榨菜肉絲炆米,65
飯,海鮮類,香蔥蝦仁炒滑蛋飯,60
飯,豬肉類,芙蓉蛋飯,60
炒飯,雞肉類,香蔥鹹魚雞粒炒飯,65
焗飯,豬肉類,招牌焗鮮茄豬扒飯,75
焗飯,牛肉類,焗鮮茄牛脷飯,75
焗飯,牛肉類,焗鮮茄芝士肉醬腸仔飯,75
焗飯,雞肉類,焗雞扒飯,75
焗飯,海鮮類,焗芝士海鮮飯,75
焗飯,海鮮類,焗芝士魚柳飯,75
飯,牛肉類,黑椒西冷牛扒飯,60
飯,雞肉類,焗黑椒雞扒飯,75
飯,豬肉類,咖哩薯仔豬扒飯,60
焗飯,雞肉類,焗咖哩薯仔雞扒飯,75
焗飯,牛肉類,焗咖哩薯仔牛肉飯,75
焗飯,海鮮類,焗咖哩薯仔鱼柳飯,75
焗飯,海鮮類,焗咖哩薯仔海鮮飯,75
焗飯,牛肉類,焗咖哩薯仔牛脷飯,75
飯,牛肉類,板燒黑椒西冷牛扒飯,60
飯,豬肉類,香煎洋蔥豬扒飯,60
飯,雞肉類,脆皮蒜蓉雞扒飯,60
飯,豬肉類,王牌粟米吉列豬扒飯,60
飯,牛肉類,粟米吉列牛柳飯,60
飯,牛肉類,煎蛋免治牛肉飯,60
意粉,牛肉類,煎蛋免治牛肉意粉,60
公仔麵,牛肉類,沙爹牛肉麵 ,45
通粉,豬肉類,豬扒湯通粉,45
通粉,豬肉類,火腿通粉,45
公仔麵,豬肉類,餐肉煎蛋公仔麵,45
公仔麵,豬肉類,火腿餐蛋公仔麵,45
米粉,豬肉類,俾製肉絲湯米粉,45
薯條,素食,薯皇,35
麵包,素食,法蘭西多士,35
麵包,素食,芝士留心多士,40
麵包,素食,黑鬆露西多士,40
麵包,牛肉類,咸牛肉三文治,28
麵包,雞肉類,火腿三文治,28
麵包,雞肉類,午餐肉三文治,28
薯條,雞肉類,豬扒包 薯皇 沙律,35
麵包,雞肉類,熱狗,20
麵包,素食,煎蛋菠蘿油,25
,,,
,,,
,,,
,,,
,,,
,,,
,,,